user_id,155,278,550,680,12477,77338,92321,157336,299534,299536
11,8.48939672992839,8.0,,8.0,8.0,0,9.0,9.0,8.0,
14,0,0,8.0,0,0,,,,8.0,8.0
27,0,8.0,8.561404867287154,8.0,8.0,8.0,9.0,,8.0,
32,8.48939672992839,,,,8.0,0,9.0,8.574585100809767,,
36,8.48939672992839,8.0,,8.0,8.0,8.0,,8.490226151775046,8.0,8.999999999999998
41,0,8.0,8.502824850916472,8.0,8.0,8.0,,,,8.532225905812995
55,0,0,0,0,0,,9.0,9.0,0,0
60,,,,8.0,8.0,0,9.0,0,8.0,9.0
64,8.644183695258079,8.0,,,,0,9.0,8.574585100809767,,
88,,8.0,,,8.0,0,9.0,0,8.0,9.0
